# generated by scripts/hash-check.py from PathOfBuilding/src/Data/Mod*.lua @ 16de4b82, poe1/data/mods.json and stat_translations.json @ e2bd511a, ../trade-query/data/stats-2026-09-12.json
trade_number,group,class,reason,mods,table,mod,pob_description,export_numbers,capture_categories,export_string
3811649872,additive_spell_damage_modifiers_apply_to_attack_damage,reproduced,,1,ModItemExclusive,DivergentSpellDamageModifiersApplyToAttackDamageUniqueHelmetInt7,Attacks have 100% Arcane Might,3811649872,explicit implicit,Attacks have 100% Arcane Might
3812107348,local_flask_recover_instantly_when_on_low_life,reproduced,,5,ModFlask,FlaskInstantRecoveryOnLowLife1,Instant Recovery when on Low Life,3812107348,explicit fractured,Instant Recovery when on Low Life
3812562802,totem_damage_leeched_as_life_to_you_permyriad,reproduced,,2,ModItemExclusive,TotemLeechLifeToYouUnique__1,0.5% of Damage dealt by your Totems is Leeched to you as Life,3812562802,explicit implicit,{0}% of Damage dealt by your Totems is Leeched to you as Life
3814066599,local_display_socketed_gems_supported_by_level_x_trap_and_mine_damage,reproduced,,10,ModExplicit,TrapDamageMineUber1,Socketed Gems are Supported by Level 16 Trap And Mine Damage,3814066599,explicit fractured,Socketed Gems are Supported by Level {0} Trap And Mine Damage
3814560373,physical_sword_damage_+%,reproduced,,3,ModItemExclusive,SwordBonus1,5% increased Physical Damage with Swords,3814560373,explicit fractured implicit,{0}% increased Physical Damage with Swords
3814686091,herald_of_thunder_buff_effect_+%,reproduced,,21,ModEldritch,HeraldBonusThunderEffectEldritchImplicit1,Herald of Thunder has (15-17)% increased Buff Effect,3814686091,explicit implicit,Herald of Thunder has {0}% increased Buff Effect
3814785829,curse_on_melee_strike_hit_level_flammability_ignoring_curse_limit,reproduced,,1,ModExplicit,DeepwaterSwordFlammability,"Melee Strikes Curse Enemies with Flammability on Hit, ignoring Curse Limit",3814785829,explicit fractured,"Melee Strikes Curse Enemies with Flammability on Hit, ignoring Curse Limit"
3814876985,add_power_charge_on_critical_strike_%,reproduced,,13,ModCorrupted,V2ChanceToGainPowerChargeOnCritCorrupted,(5-7)% chance to gain a Power Charge on Critical Strike,3814876985,explicit fractured implicit,{0}% chance to gain a Power Charge on Critical Strike
3815042054,life_leech_speed_+%_per_equipped_corrupted_item,reproduced,,3,ModJewel,LifeLeechRatePerCorruptedItemJewelCorrupted,1% increased total Recovery per second from Life Leech for each Corrupted Item Equipped,3815042054,implicit,{0}% increased total Recovery per second from Life Leech for each Corrupted Item Equipped
3815724042,fire_damage_to_return_on_block,reproduced,,1,ModItemExclusive,ReflectFireDamageOnBlockUnique__1___,Reflects (22-44) Fire Damage to Attackers on Block,3815724042,explicit,Reflects {0} Fire Damage to Attackers on Block
3816512110,projectile_damage_+%_per_power_charge,reproduced,,1,ModItemExclusive,ProjectileDamagePerPowerChargeUniqueAmulet15,5% increased Projectile Damage per Power Charge,3816512110,explicit,{0}% increased Projectile Damage per Power Charge
3817220109,herald_of_thunder_mana_reservation_efficiency_+%,reproduced,export text join ambiguous; the hash picks one,1,ModItemExclusive,HeraldBonusThunderReservationEfficiency,Herald of Thunder has (30-40)% increased Mana Reservation Efficiency,3817220109 3959101898,enchant explicit,Herald of Thunder has {0}% increased Mana Reservation Efficiency
3818161429,onslaught_buff_duration_on_culling_strike_ms,reproduced,,1,ModItemExclusive,GainOnslaughtWhenCullingEnemyUniqueOneHandAxe6,You gain Onslaught for 3 seconds on Culling Strike,3818161429,explicit,You gain Onslaught for {0} seconds on Culling Strike
3818661553,local_affliction_notable_eye_of_the_storm,reproduced,,1,ModJewelCluster,AfflictionNotableEyeoftheStorm,1 Added Passive Skill is Eye of the Storm,3818661553,explicit fractured,1 Added Passive Skill is Eye of the Storm
3819451758,herald_of_ash_mana_reservation_efficiency_-2%_per_1,reproduced,export text join ambiguous; the hash picks one,1,ModItemExclusive,HeraldBonusAshReservation,Herald of Ash has (30-40)% increased Mana Reservation Efficiency,2500442851 3819451758,enchant explicit,Herald of Ash has {0}% reduced Mana Reservation Efficiency
3819827377,local_affliction_jewel_small_nodes_grant_maximum_life,reproduced,,8,ModJewelCluster,AfflictionJewelSmallPassivesGrantLife_,Added Small Passive Skills also grant: +(2-3) to Maximum Life,3819827377,explicit fractured,Added Small Passive Skills also grant: {0} to Maximum Life
3821472155,attack_minimum_added_physical_damage_per_level|attack_maximum_added_physical_damage_per_level,reproduced,,2,ModItemExclusive,PhysicalDamageToAttacksPerLevelUnique__1_,Adds 1 to 2 Physical Damage to Attacks per Level,3821472155,explicit,Adds {0} to {1} Physical Damage to Attacks per Level
3821882617,snipe_max_stacks,explained,number not in the capture (recipe output the site lacks),1,ModItemExclusive,AdditionalMaxStackSnipeUnique,+2 to maximum Snipe Stages,,not in capture,
3822878124,local_display_grants_skill_purity_of_lightning_level,reproduced,export text join ambiguous; the hash picks one,5,ModCorrupted,PurityOfLightningSkillCorrupted,Grants Level 15 Purity of Lightning Skill,1141249906 3822878124,explicit implicit,Grants Level {0} Purity of Lightning Skill
3822999954,maximum_mana_+_per_2_intelligence,reproduced,,2,ModItemExclusive,GainManaPer2IntelligenceUnique_1,+1 to maximum Mana per 2 Intelligence,3822999954,explicit fractured,{0} to maximum Mana per 2 Intelligence
3824033729,local_flask_life_leech_on_damage_taken_%_permyriad_during_flask_effect,reproduced,,1,ModVeiled,JunMasterVeiledLocalFlaskLifeLeechOnDamageTakenPermyriadDuringFlaskEffect,15% of Damage Taken from Hits is Leeched as Life during Effect,3824033729,crafted explicit,{0}% of Damage Taken from Hits is Leeched as Life during Effect
3824372849,base_curse_duration_+%,reproduced,,1,ModMercenary,MercenaryModCurseEffect,20% reduced Curse Duration,3824372849,explicit fractured,{0}% increased Curse Duration
3825877290,global_evasion_rating_+_while_moving,reproduced,,3,ModCorrupted,V2AddedEvasionWhileMovingCorrupted1_,+(35-60) to Global Evasion Rating while moving,3825877290,implicit,{0} to Global Evasion Rating while moving
3826125995,projectiles_from_spells_cannot_pierce,reproduced,,1,ModItemExclusive,SpellsCannotPierceUnique__1__,Projectiles from Spells cannot Pierce,3826125995,explicit,Projectiles from Spells cannot Pierce
3826977109,local_display_socketed_gems_supported_by_level_x_maim,reproduced,,6,ModDelve,DelveBodyArmourSocketedSkillsSupportedByMaim1,Socketed Gems are Supported by Level 1 Maim,3826977109,explicit fractured,Socketed Gems are Supported by Level {0} Maim
3827349913,armour_+%_while_no_energy_shield,reproduced,,1,ModItemExclusive,IncreasedArmourOnZeroEnergyShieldUnique__1,100% increased Global Armour while you have no Energy Shield,3827349913,explicit,{0}% increased Global Armour while you have no Energy Shield
3827538724,local_display_socketed_gems_supported_by_level_x_barrage,reproduced,,1,ModItemExclusive,HungryLoopSupportedByBarrage_,Socketed Gems are Supported by Level 20 Barrage,3827538724,explicit,Socketed Gems are Supported by Level {0} Barrage
3828375170,faster_bleed_%,reproduced,,37,ModDelve,FasterBleedDelve,Bleeding you inflict deals Damage (5-10)% faster,3828375170,explicit fractured implicit scourge,Bleeding you inflict deals Damage {0}% faster
3828613551,local_socketed_gem_quality_+,reproduced,,10,ModCorrupted,V2GemQualityCorrupted,+(5-10)% to Quality of Socketed Gems,3828613551,crafted explicit fractured implicit,{0}% to Quality of Socketed Gems
3829555156,local_right_ring_slot_-%_of_your_physical_damage_cannot_be_reflected,explained,translation entry has no trade_stats (text join failed); the hash supplies it,1,ModItemExclusive,RightRingSlotPhysicalReflectDamageTakenUniqueRing10,Right ring slot: you and your Minions prevent +100% of Reflected Physical Damage,,explicit,Right ring slot: you and your Minions prevent {0}% of Reflected Physical Damage
3829706447,minimum_added_chaos_damage_vs_enemies_with_5+_poisons|maximum_added_chaos_damage_vs_enemies_with_5+_poisons,reproduced,,1,ModItemExclusive,AddedChaosDamageVsEnemiesWith5PoisonsUnique__1,Attacks with this Weapon deal 80 to 120 added Chaos Damage against / Enemies affected by at least 5 Poisons,3829706447,explicit,Attacks with this Weapon deal {0} to {1} added Chaos Damage against\nEnemies affected by at least 5 Poisons
3830354140,graft_skill_uulnetol_impale_buff_hits_ignore_enemy_monster_physical_damage_reduction_%_chance_to_grant,explained,stat group has no translation entry,1,ModGraft,GraftSuffixUulNetolImpaleBuffGrantsChanceToIgnorePhysReduction1,Violent Desire used by this Graft also grants Hits have (30-50)% chance to ignore Enemy Physical Damage Reduction,,explicit,
3832130495,spider_aspect_web_interval_ms_override,reproduced,,1,ModItemExclusive,AspectOfSpiderWebIntervalUnique__1,Aspect of the Spider inflicts Spider's Webs and Hinder every 0.5 Seconds instead,3832130495,explicit,Aspect of the Spider inflicts Spider's Webs and Hinder every {0} Seconds instead
3832665876,local_affliction_notable_depression,reproduced,,1,ModJewelCluster,AfflictionNotableMiseryEverlasting,1 Added Passive Skill is Misery Everlasting,3832665876,explicit fractured,1 Added Passive Skill is Misery Everlasting
3833160777,all_damage_can_chill,reproduced,,1,ModItemExclusive,AllDamageCanChillUnique__1,All Damage with Hits can Chill,3833160777,explicit,All Damage with Hits can Chill
3835522656,attack_minimum_added_melee_lightning_damage_while_unarmed|attack_maximum_added_melee_lightning_damage_while_unarmed,reproduced,,1,ModItemExclusive,AddedLightningDamageWhileUnarmedUniqueGlovesStr4_,Adds (150-225) to (525-600) Lightning Damage to Unarmed Melee Hits,3835522656,explicit,Adds {0} to {1} Lightning Damage to Unarmed Melee Hits
3835551335,cannot_be_poisoned,reproduced,,5,ModCorrupted,V2CannotBePoisonedCorrupted,Cannot be Poisoned,3835551335,explicit fractured implicit,Cannot be Poisoned
3835570161,minion_unholy_might_on_kill_duration_ms,reproduced,,1,ModItemExclusive,MinionUnholyMightOnKillUniqueBodyInt9,Minions gain Unholy Might for 10 seconds on Kill,3835570161,explicit,Minions gain Unholy Might for {0} seconds on Kill
3835899275,local_display_socketed_gems_elemental_damage_+%_final,reproduced,,1,ModExplicit,SocketedGemsDealMoreElementalDamageEssence1,Socketed Gems deal 30% more Elemental Damage,3835899275,explicit fractured,Socketed Gems deal {0}% more Elemental Damage
3836017971,light_radius_scales_with_energy_shield,reproduced,,1,ModItemExclusive,ArcaneVisionUniqueBodyStrInt5,Light Radius is based on Energy Shield instead of Life,3836017971,crafted explicit fractured,Light Radius is based on Energy Shield instead of Life
3837366401,additional_physical_damage_reduction_against_hits_%_per_siphoning_charge,reproduced,,1,ModItemExclusive,AdditionalPhysicalDamageReductionPerSiphoningChargeUnique__1,2% additional Physical Damage Reduction from Hits per Siphoning Charge,3837366401,explicit,{0}% additional Physical Damage Reduction from Hits per Siphoning Charge
3837707023,minion_chaos_resistance_%,reproduced,,9,ModItemExclusive,MinionChaosResistanceUnique___1,Minions have +29% to Chaos Resistance,3837707023,explicit fractured scourge,Minions have {0}% to Chaos Resistance
3837805260,local_cannot_have_blue_sockets,reproduced,,16,ModItemExclusive,WeaponEnchantmentHeistPhysicalEffectNoGreenSockets1_,Has no Blue Sockets,3837805260,enchant,Has no Blue Sockets
3838369929,local_flask_immune_to_freeze_and_chill_during_flask_effect,reproduced,,3,ModFlask,FlaskFreezeAndChillImmunityDuringEffect,Immunity to Freeze and Chill during Effect,3838369929,explicit fractured,Immunity to Freeze and Chill during Effect
3839163699,local_display_socketed_gems_supported_by_level_x_trap_cooldown,reproduced,,9,ModExplicit,TrapDamageCooldownUber1_,Socketed Gems are Supported by Level 16 Advanced Traps,3839163699,explicit fractured,Socketed Gems are Supported by Level {0} Advanced Traps
3839620417,evasion_rating_+%_during_focus,reproduced,,1,ModVeiled,JunMasterVeiledDodgeChanceDuringFocus_,(30-32)% increased Evasion Rating while Focused,3839620417,crafted explicit fractured,{0}% increased Evasion Rating while Focused
3840847348,curse_aura_skills_reserve_life,reproduced,,2,ModItemExclusive,CurseSkillsCostAndReserveLifeUnique__1,Curse Aura Skills reserve Life instead of Mana,3840847348,explicit implicit,Curse Aura Skills reserve Life instead of Mana
3841984913,gain_x_fragile_regrowth_per_second,reproduced,,2,ModItemExclusive,FragileRegrowthLifeRegenerationUnique__1,Gain 1 Fragile Regrowth each second,3841984913,explicit fractured,Gain {0} Fragile Regrowth each second
3842406602,gain_attack_speed_+%_for_4_seconds_if_taken_savage_hit,reproduced,,1,ModItemExclusive,AttackSpeedAfterSavageHitTakenUnique__1,40% increased Attack Speed if you've taken a Savage Hit Recently,3842406602,explicit,{0}% increased Attack Speed if you've taken a Savage Hit Recently
3844016207,local_display_raise_spider_on_kill_%_chance,reproduced,,1,ModItemExclusive,SummonSpidersOnKillUnique__1,100% chance to Trigger Level 1 Raise Spiders on Kill,3844016207,explicit,Trigger Level 20 Raise Spiders on Kill
3844045281,nearby_enemies_are_blinded_if_2_redeemer_items,reproduced,,1,ModItemExclusive,NearbyEnemiesAreBlinded2RedeemerItemsUnique__1,Nearby Enemies are Blinded if 2 Redeemer Items are Equipped,3844045281,explicit,Nearby Enemies are Blinded if 2 Redeemer Items are Equipped
3844615363,local_unique_hungry_loop_number_of_gems_to_consume,explained,number not in the capture (recipe output the site lacks),1,ModItemExclusive,HungryLoopSupportedByKineticInstability,Socketed Gems are Supported by Level 20 Kinetic Instability,,not in capture,
3845048660,life_regeneration_rate_per_minute_%_per_nearby_corpse_up_to_3%,reproduced,,1,ModItemExclusive,LifeRegenerationPerNearbyCorpseUnique__1,"For each nearby corpse, Regenerate 0.25% Life per second, up to 3%",3845048660,explicit,"For each nearby corpse, Regenerate {0}% Life per second, up to 3%"
3846088475,local_display_socketed_gems_damage_over_time_+%_final,reproduced,,1,ModExplicit,SupportDamageOverTimeEssence1,Socketed Gems deal 30% more Damage over Time,3846088475,explicit fractured,Socketed Gems deal {0}% more Damage over Time
3846248551,local_display_grants_skill_herald_of_ice_level,reproduced,,5,ModExplicit,GrantsHeraldOfIceSkillUber1,Grants Level 22 Herald of Ice Skill,3846248551,explicit fractured scourge,Grants Level {0} Herald of Ice Skill
3848047105,physical_damage_can_shock,reproduced,,1,ModItemExclusive,PhysicalDamageCanShockUnique__1,Your Physical Damage can Shock,3848047105,explicit,Your Physical Damage can Shock
3848282610,base_life_leech_from_fire_damage_permyriad,reproduced,export text join ambiguous; the hash picks one,19,ModCorrupted,FireDamageLifeLeechPermyriadCorrupted,0.2% of Fire Damage Leeched as Life,1743742391 3848282610,crafted explicit fractured implicit scourge,{0}% of Fire Damage Leeched as Life
3848677307,local_affliction_notable_aerialist,reproduced,,1,ModJewelCluster,AfflictionNotableAerialist,1 Added Passive Skill is Aerialist,3848677307,explicit fractured,1 Added Passive Skill is Aerialist
3849523464,maximum_life_per_equipped_elder_item,reproduced,,1,ModItemExclusive,IncreasedLifePerElderItemUnique__1,+6 to Maximum Life per Elder Item Equipped,3849523464,explicit,{0} to Maximum Life per Elder Item Equipped
3849554033,keystone_hex_master,reproduced,,3,ModExplicit,RecombinatorSpecialKeystoneDoomsday,Hex Master,3849554033,explicit scourge,Hex Master
3850409117,cat_aspect_reserves_no_mana,reproduced,,2,ModItemExclusive,CatAspectReservesNoManaUnique__1___,Aspect of the Cat has no Reservation,3850409117,explicit implicit,Aspect of the Cat has no Reservation
3850932596,local_gems_socketed_have_no_attribute_requirements,reproduced,,1,ModFoulborn,MutatedUniqueShieldStrDex7LocalGemsSocketedHaveNoAttributeRequirements,Ignore Attribute Requirements of Socketed Gems,3850932596,explicit,Ignore Attribute Requirements of Socketed Gems
3851254963,totem_damage_+%,reproduced,,11,ModExplicit,TotemDamageSpellUber1,(20-25)% increased Totem Damage,3851254963,explicit fractured,{0}% increased Totem Damage
3852526385,local_socketed_movement_gem_level_+,reproduced,,2,ModItemExclusive,LocalIncreaseSocketedMovementGemLevelUniqueBodyDex5,+5 to Level of Socketed Movement Gems,3852526385,explicit implicit,{0} to Level of Socketed Movement Gems
3853018505,physical_damage_taken_+%,reproduced,,17,ModDelve,DelveHelmetEnemyPhysicalDamageTakenAura1,9% increased Physical Damage taken,3853018505,explicit scourge,{0}% increased Physical Damage taken
3853303544,graft_skill_esh_jolt_maximum_attack_damage_+%_final_to_grant,explained,stat group has no translation entry,1,ModGraft,GraftSuffixJoltMaxDamageAndDamageTaken1,Jolt granted by this Graft grants +1% increased Damage taken,,explicit,
3853996752,energy_shield_recharges_on_skill_use_chance_%,reproduced,,2,ModFoulborn,MutatedUniqueQuiver7StartEnergyShieldRechargeOnSkillChance,(10-15)% chance for Energy Shield Recharge to start when you use a Skill,3853996752,explicit,{0}% chance for Energy Shield Recharge to start when you use a Skill
3854334101,evasion_rating_+%_while_leeching,explained,number not in the capture (recipe output the site lacks),1,ModItemExclusive,IncreasedEvasionRatingWhileLeechingUber1,20% increased Evasion while Leeching,,not in capture,
3854439683,local_flask_shock_immunity_if_shocked_s,reproduced,,4,ModFlask,FlaskShockImmunity1,Grants Immunity to Shock for (6-8) seconds if used while Shocked,3854439683,explicit fractured,Grants Immunity to Shock for {0} seconds if used while Shocked
3854777240,random_skill_gem_level_+_level,explained,number not in the capture (recipe output the site lacks),1,ModItemExclusive,RandomSkillUnique__1,,,not in capture,
3854949926,movement_speed_+%_if_have_not_taken_damage_recently,reproduced,,1,ModJewelAbyss,AbyssMovementSpeedIfNotDamagedRecentlyJewel1,(3-4)% increased Movement Speed if you haven't taken Damage Recently,3854949926,explicit fractured,{0}% increased Movement Speed if you haven't taken Damage Recently
3855016469,base_self_critical_strike_multiplier_-%,reproduced,,20,ModCorrupted,V2ReducedExtraDamageFromCriticalStrikesBodyCorrupted__,You take 50% reduced Extra Damage from Critical Strikes,3855016469,explicit fractured implicit scourge,You take {0}% reduced Extra Damage from Critical Strikes
3856092403,adrenaline_on_vaal_skill_use_duration_ms,reproduced,,1,ModFoulborn,MutatedUniqueGlovesStrDex4AdrenalineOnVaalSkillUse,You gain Adrenaline for 3 seconds on using a Vaal Skill,3856092403,explicit,You gain Adrenaline for {0} second on using a Vaal Skill
3856468419,minimum_added_physical_damage_vs_frozen_enemies|maximum_added_physical_damage_vs_frozen_enemies,reproduced,,1,ModItemExclusive,AddedPhysicalDamageVsFrozenEnemiesUniqueRing30,Adds 10 to 15 Physical Damage to Attacks against Frozen Enemies,3856468419,explicit,Adds {0} to {1} Physical Damage to Attacks against Frozen Enemies
3856647970,deaths_oath_debuff_on_kill_base_chaos_damage_to_deal_per_minute,explained,number not in the capture (recipe output the site lacks),1,ModItemExclusive,ChaosDegenerationOnKillUniqueBodyStr3,You take 0 Chaos Damage per second for 3 seconds on Kill,,not in capture,
3859593448,essence_display_elemental_damage_taken_while_not_moving_+%,reproduced,,1,ModExplicit,ElementalDamageTakenWhileStationaryEssence1,5% reduced Elemental Damage Taken while stationary,3859593448,explicit fractured,{0}% increased Elemental Damage Taken while stationary
3859865977,precision_mana_reservation_efficiency_+%,reproduced,export text join ambiguous; the hash picks one,1,ModItemExclusive,PrecisionReservationEfficiencyUnique__1,Precision has 100% increased Mana Reservation Efficiency,658622139 3859865977,enchant explicit,Precision has {0}% increased Mana Reservation Efficiency
3860179422,local_affliction_notable_precise_commander,reproduced,,1,ModJewelCluster,AfflictionNotablePreciseCommander,1 Added Passive Skill is Destructive Aspect,3860179422,explicit fractured,1 Added Passive Skill is Destructive Aspect
3860231079,local_unique_flask_instantly_removes_%_maximum_life,reproduced,,1,ModItemExclusive,LocalFlaskRemovePercentOfLifeOnUseUnique_7,Removes (10-15)% of Life when Used,3860231079,explicit,Removes {0}% of Life when Used
3860869243,local_jewel_expansion_keystone_disciple_of_kitava,reproduced,,1,ModItemExclusive,JewelExpansionKeystoneDiscipleOfKitava_,Adds Disciple of Kitava,3860869243,explicit,Adds Disciple of Kitava
3861913659,life_leech_permyriad_vs_cursed_enemies,reproduced,,1,ModItemExclusive,LifeLeechVsCursedEnemiesUnique__1,1% of Damage Leeched as Life against Cursed Enemies,3861913659,explicit,{0}% of Damage Leeched as Life against Cursed Enemies
3864993324,energy_shield_per_level,reproduced,,1,ModItemExclusive,EnergyShieldPerLevelUnique__1,+(1-2) Maximum Energy Shield per Level,3864993324,explicit,{0} Maximum Energy Shield per Level
3865389316,amulet_freeze_proliferation_radius,reproduced,export text join ambiguous; the hash picks one,1,ModItemExclusive,FreezeProliferationUnique__1,Freezes you inflict spread to other Enemies within 1.5 metres,1623640288 3865389316,explicit,Freezes you inflict spread to other Enemies within {0} metre
3865999868,additional_block_%_while_on_consecrated_ground,reproduced,,1,ModItemExclusive,BlockChanceOnConsecratedGroundUnique__1,+5% Chance to Block Attack Damage while on Consecrated Ground,3865999868,explicit,{0}% Chance to Block Attack Damage while on Consecrated Ground
3867344930,flask_effect_+%_per_level,reproduced,,1,ModItemExclusive,FlaskEffectPerLevelUnique__1,Flasks applied to you have 1% increased Effect per Level,3867344930,explicit,Flasks applied to you have {0}% increased Effect per Level
3867887711,critical_ignite_dot_multiplier_+,reproduced,,1,ModItemExclusive,CriticalIgniteDotMultiplierUnique__1,+(30-50)% to Damage over Time Multiplier for Ignite from Critical Strikes,3867887711,explicit,{0}% to Damage over Time Multiplier for Ignite from Critical Strikes
3868073741,keystone_sacred_bastion,reproduced,,2,ModItemExclusive,KeystoneSacredBastionUnique__1,Imbalanced Guard,3868073741,explicit scourge,Imbalanced Guard
3868184702,lightning_damage_to_return_to_melee_attacker,reproduced,,2,ModItemExclusive,AttackerTakesLightningDamageUnique__1,Reflects 100 Lightning Damage to Melee Attackers,3868184702,explicit implicit,Reflects {0} Lightning Damage to Melee Attackers
3868443508,damage_+%_per_raised_zombie,reproduced,,2,ModFoulborn,MutatedUniqueSceptre3DamagePerZombie,(40-60)% increased Damage per Raised Zombie,3868443508,explicit,{0}% increased Damage per Raised Zombie
3868549606,gain_X_frenzy_charges_after_spending_200_mana,reproduced,,1,ModCorrupted,V2GainFrenzyChargeAfterSpending200ManaCorrupted,Gain a Frenzy Charge after Spending a total of 200 Mana,3868549606,implicit,Gain a Frenzy Charge after Spending a total of 200 Mana
3869628136,local_flask_chill_or_freeze_immunity_if_chilled_or_frozen_s,reproduced,,4,ModFlask,FlaskChillFreezeImmunity1,Grants Immunity to Chill for (6-8) seconds if used while Chilled / Grants Immunity to Freeze for (6-8) seconds if used while Frozen,3869628136,explicit fractured,Grants Immunity to Chill for {0} seconds if used while Chilled\nGrants Immunity to Freeze for {0} seconds if used while Frozen
3871212304,additive_vaal_skill_damage_modifiers_apply_to_all_skills,reproduced,,1,ModSynthesis,SynthesisImplicitVaalSkillDamageAffectsSkillDamage1,Increases and Reductions to Damage with Vaal Skills also apply to Non-Vaal Skills,3871212304,implicit,Increases and Reductions to Damage with Vaal Skills also apply to Non-Vaal Skills
3872306017,power_charge_duration_+%,reproduced,,10,ModExplicit,ChanceToGainPowerChargeOnKillUberMaven,50% increased Power Charge Duration,3872306017,enchant explicit implicit,{0}% increased Power Charge Duration
3872380586,local_affliction_notable_inspired_oppression,reproduced,,1,ModJewelCluster,AfflictionNotableInspiredOppression,1 Added Passive Skill is Inspired Oppression,3872380586,explicit fractured,1 Added Passive Skill is Inspired Oppression
3872739249,local_display_summon_harbinger_x_on_equip,reproduced,,16,ModItemExclusive,HarbingerSkillOnEquipUnique__1,Grants Summon Harbinger of the Arcane Skill,3872739249,explicit implicit,Grants Summon Harbinger of the Arcane Skill
3873656110,local_unique_hungry_loop_number_of_gems_to_consume,explained,number not in the capture (recipe output the site lacks),1,ModItemExclusive,HungryLoopSupportedByHarrowingThrong,Socketed Gems are Supported by Level 3 Harrowing Throng,,not in capture,
3874817029,movement_velocity_+%_with_magic_abyss_jewel_socketed,reproduced,,1,ModItemExclusive,MovementVelocityWithMagicAbyssJewelUnique__1,(24-32)% increased Movement Speed while affected by a Magic Abyss Jewel,3874817029,explicit,{0}% increased Movement Speed while affected by a Magic Abyss Jewel
3875592188,movement_speed_cannot_be_reduced_below_base,reproduced,,3,ModItemExclusive,MovementCannotBeSlowedBelowBaseUnique__1,Movement Speed cannot be modified to below Base Value,3875592188,explicit fractured,Movement Speed cannot be modified to below Base Value
3875792669,local_affliction_notable_molten_ones_mark,reproduced,,1,ModJewelCluster,AfflictionNotableMoltenOnesMark_,1 Added Passive Skill is Molten One's Mark,3875792669,explicit fractured,1 Added Passive Skill is Molten One's Mark
3878987051,local_display_socketed_gems_get_cast_on_death_level,reproduced,,3,ModItemExclusive,SocketedGemsSupportedByCastOnDeathUniqueHelmetStrInt5,Socketed Gems are supported by Level 20 Cast on Death,3878987051,explicit implicit,Socketed Gems are supported by Level {0} Cast on Death
3878995435,soulcord_have_skeleton_shrine_effect_if_affected_by_no_flasks,reproduced,,1,ModItemExclusive,SoulcordSkeletonShrineUnique_1,You have Greater Skeletal Shrine Buff while affected by no Flasks,3878995435,explicit,You have Greater Skeletal Shrine Buff while affected by no Flasks
3879726065,minions_have_same_maximum_num_of_charges_as_owner,reproduced,,1,ModItemExclusive,MinionsHaveChargesYouHaveUnique__1,"Minions have the same maximum number of Endurance, Frenzy and Power Charges as you",3879726065,explicit,"Minions have the same maximum number of Endurance, Frenzy and Power Charges as you"
3880462354,local_display_grants_skill_herald_of_ash_level,reproduced,,5,ModExplicit,GrantsHeraldOfAshSkillUber1,Grants Level 22 Herald of Ash Skill,3880462354,explicit fractured scourge,Grants Level {0} Herald of Ash Skill
3881126302,cannot_be_frozen_with_dex_higher_than_int,reproduced,,1,ModItemExclusive,CannotBeFrozenWithDexHigherThanIntUnique__1,Cannot be Frozen if Dexterity is higher than Intelligence,3881126302,explicit,Cannot be Frozen if Dexterity is higher than Intelligence
3881647885,local_unique_jewel_blight_applies_wither_for_ms_with_40_int_in_radius,reproduced,,2,ModItemExclusive,BlightThresholdJewel_3,"With at least 40 Intelligence in Radius, Blight inflicts Withered for 2 seconds",3881647885,explicit,"With at least 40 Intelligence in Radius, Blight inflicts Withered for {0} seconds"
3881737087,local_affliction_notable_summer_commander,reproduced,,1,ModJewelCluster,AfflictionNotableSummerCommander,1 Added Passive Skill is Mortifying Aspect,3881737087,explicit fractured,1 Added Passive Skill is Mortifying Aspect
3882531569,physical_dagger_damage_+%,reproduced,,3,ModItemExclusive,DaggerBonus1,5% increased Physical Damage with Daggers,3882531569,explicit fractured implicit,{0}% increased Physical Damage with Daggers
3882662078,attack_minimum_added_physical_damage_with_maces|attack_maximum_added_physical_damage_with_maces,reproduced,,5,ModJewelAbyss,AbyssAddedPhysicalDamageWithMacesJewel1,2 to 3 Added Physical Damage with Mace or Sceptre Attacks,3882662078,explicit fractured,{0} to {1} Added Physical Damage with Mace or Sceptre Attacks
3883691934,local_display_grants_skill_dash_level,reproduced,,1,ModItemExclusive,GrantsDashUnique__1_,Grants Level 30 Dash Skill,3883691934,explicit,Grants Level {0} Dash Skill
3883840239,recover_%_life_when_you_chill_a_non_chilled_enemy,reproduced,,1,ModFoulborn,MutatedUniqueBelt14MaximumLifeOnChillPercent,Recover 2% of Life when you Chill a non-Chilled Enemy,3883840239,explicit,Recover {0}% of Life when you Chill a non-Chilled Enemy
3884934810,keystone_ailment_crit,reproduced,,3,ModExplicit,RecombinatorSpecialKeystonePerfectAgony,Perfect Agony,3884934810,explicit fractured scourge,Perfect Agony
3885405204,number_of_additional_arrows,reproduced,,13,ModCorrupted,AdditionalArrowsCorruption,Bow Attacks fire an additional Arrow,3885405204,explicit fractured implicit scourge,Bow Attacks fire an additional Arrow
3885409671,base_energy_shield_leech_from_fire_damage_permyriad,reproduced,,2,ModExplicit,FireDamageESLeechInfluence1,(0.2-0.4)% of Fire Damage Leeched as Energy Shield,3885409671,explicit fractured,{0}% of Fire Damage Leeched as Energy Shield
3885634897,local_poison_on_hit_%,reproduced,,17,ModExplicit,ChanceToPoison1,10% chance to Poison on Hit,3885634897,crafted enchant explicit fractured implicit,{0}% chance to Poison on Hit
